Time,Elapsed Time,TC01,TC02,TC03,TC04,TC05,TC06,TC07,TC08,TC09,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,TC20,TC21,TC22,TC23,TC24,TC25,TC26,TC27,TC28,HEATER01,PELTIER01,PELTIER02,STA,PT01,MTR1_OST,MTR1_SPEED,MTR1_POS,MTR1_GRC,MTR2_OST,MTR2_SPEED,MTR2_POS,MTR2_GRC,MTR3_OST,MTR3_SPEED,MTR3_POS,MTR3_GRC,MTR4_OST,MTR4_SPEED,MTR4_POS,MTR4_GRC
12/08/2021 21:19:37.7964,10.009223,19.876284,20.175835,19.624398,20.838378,20.645050,20.628378,20.939082,20.217762,20.176299,20.388233,20.092673,20.441731,20.714050,19.861687,19.927257,20.355576,21.022184,19.962242,20.005798,19.962473,20.668668,20.168423,20.100086,20.153829,20.160547,20.149659,19.873503,20.791844,20.017845,20.588319,20.091051,20.042170,0.044023,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:19:38.7958,11.008547,19.829479,20.113522,19.590794,20.802957,20.574193,20.599202,20.891856,20.184638,20.058387,20.310644,20.044487,20.384295,20.665195,19.797039,19.825540,20.268026,20.977046,19.919611,19.953901,19.905941,20.655470,20.095916,20.012748,20.078078,20.042865,20.085028,19.806772,20.778415,19.949036,20.529269,20.029892,19.943243,0.044023,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,2.000000,0.000000,0.000000
12/08/2021 21:19:39.7961,12.008871,19.798662,20.030355,19.554640,20.733962,20.472764,20.549647,20.815458,20.099391,19.959925,20.189734,19.944170,20.255286,20.508196,19.725437,19.757647,20.157304,20.937693,19.886247,19.914514,19.870723,20.559836,20.052132,19.978691,20.041012,19.975679,20.041707,19.768770,20.741834,19.900149,20.513059,20.008114,19.889027,0.018434,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:19:40.7974,13.010193,19.739572,19.956450,19.523120,20.639724,20.392865,20.482027,20.743223,20.039158,19.848943,20.067885,19.829016,20.138309,20.338437,19.628106,19.670284,20.024331,20.877735,19.857748,19.865394,19.824150,20.444510,20.031282,19.970582,20.027807,19.923318,20.012748,19.726364,20.662416,19.846394,20.482490,20.070897,19.822760,0.044023,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:19:42.1633,14.376051,19.781514,19.930269,19.584769,20.512827,20.369704,20.372020,20.577667,19.933281,19.734011,19.930964,19.731925,20.010199,20.155682,19.548150,19.604236,19.915904,20.787676,19.884625,19.883467,19.809784,20.323846,20.033367,19.960620,19.956218,19.880223,19.952743,19.677236,20.552889,19.793332,20.456784,20.137614,19.765757,0.018434,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:19:42.7956,15.008360,19.791942,19.860065,19.586854,20.402823,20.323614,20.296283,20.459332,19.869564,19.685347,19.889027,19.715241,19.962473,20.030818,19.539343,19.569936,19.876516,20.717523,19.887637,19.883467,19.779429,20.244863,20.041707,19.965949,19.944865,19.879064,19.937451,19.647110,20.489901,19.789625,20.442194,20.200852,19.724742,0.018434,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:19:43.7959,16.008683,19.820674,19.897137,19.638303,20.379432,20.338669,20.271268,20.418340,19.837357,19.680481,19.879991,19.676773,19.894125,19.939073,19.520570,19.543283,19.822296,20.700621,19.888101,19.870260,19.750464,20.210813,20.016918,19.934439,19.901307,19.848479,19.903161,19.644561,20.399581,19.773172,20.384295,20.255518,19.727523,-0.007155,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:19:44.7962,17.009007,19.842223,19.893198,19.652440,20.318982,20.311107,20.215909,20.344459,19.817430,19.708521,19.887405,19.734474,19.885320,19.896673,19.665649,19.638535,19.909417,20.695990,19.905709,19.910807,19.816504,20.226332,20.030123,20.007419,19.981935,19.953901,19.968729,19.711533,20.411392,19.902002,20.441963,20.345617,19.766684,0.044023,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:19:45.7955,18.008332,19.938378,19.994677,19.739109,20.390780,20.381053,20.284934,20.408613,19.896442,19.820443,19.992592,19.870723,19.997457,19.930269,19.790551,19.714546,19.988190,20.764755,19.978228,20.004871,19.904551,20.343996,20.118155,20.086186,20.083175,20.147343,20.038232,19.788698,20.492680,19.963632,20.483417,20.328710,19.811174,-0.007155,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:19:47.0302,19.243029,19.854504,20.066958,19.654757,20.370167,20.412319,20.276827,20.386611,19.877211,19.813491,20.009504,19.908258,20.018076,19.994909,19.848711,19.812796,20.043328,20.828192,19.936756,19.974058,19.873272,20.359977,20.105182,20.117228,20.097074,20.230270,20.086418,19.870723,20.524406,20.087345,20.527185,20.323382,19.941158,0.018434,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
